idx,node_id,work_node_id,google_min,google_mile,path4gmns_mile,path4gmns_km,gmns_google_ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,45421,91340,21,15.3,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,53757,91340,21,16.5,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,104746,54711,24,18.7,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,99013,91340,16,12.3,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,63323,91340,5,3.1,1.932825,3.09252,0.623491935483871,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,39547,77261,38,32.1,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,46708,77261,25,17.3,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,96582,54711,22,19.3,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,75548,91340,17,12.6,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,110178,54711,17,12.8,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,94130,91340,6,2.4,6.00260625,9.60417,2.5010859375,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,94130,91340,6,2.4,6.00260625,9.60417,2.5010859375,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,106032,91340,19,13,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,75803,91340,14,10.8,17.6131375,28.18102,1.63084606481481,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,104693,54711,27,24.1,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,48760,91340,10,6,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,3933,109138,41,35.1,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,52613,91340,16,11.9,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,62455,54711,21,15.9,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,52375,54711,25,19.3,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,63316,91890,15,11.6,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,4218,54711,23,18.5,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,82344,77265,8,3.8,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,45961,91340,20,17.7,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,80523,91340,19,15.9,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,61991,91340,24,21.2,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,83637,91340,20,17,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,52686,77261,16,10.7,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,84201,91340,15,9.7,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,77389,91340,15,12.1,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,91810,54711,2,0.3,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,66330,75041,24,16.6,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,50777,54711,21,17.6,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,73818,91340,15,11.8,27.25595625,43.60953,2.30982680084746,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,72867,77265,6,2.1,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,69064,54711,15,8,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,52247,54711,26,24.8,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,48165,91340,32,26.2,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,58111,54711,15,11.3,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,58932,74417,15,10.8,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,96257,54711,22,19.8,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,98293,91340,27,22,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,122733,91340,5,1.7,6.65773125,10.65237,3.9163125,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,120285,91340,4,1.1,7.15385,11.44616,6.5035,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,60929,54711,19,9,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,76806,91340,15,12.1,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,70029,54711,17,13.4,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,52846,74417,16,9.8,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,16952,91340,40,39,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,64632,91340,16,11.3,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,56261,54711,19,15,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,119055,77261,13,7.7,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,66762,54711,18,13.7,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,69028,91340,17,13.2,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,55365,54711,21,17.2,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,92750,54711,8,2.7,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,105503,77265,13,10.7,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,70377,77261,5,1.2,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,84254,54711,16,13.2,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,64179,91340,13,10,6.72701875,10.76323,0.672701875,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,46068,91340,30,22,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,2161,54711,33,29.9,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,59861,102829,10,6.7,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,3338,91340,26,24.3,16.75680625,26.81089,0.689580504115226,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,94211,54711,37,31.3,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,65777,91340,17,12.5,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,16943,54711,39,37.8,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,84372,91340,15,11.8,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,91147,77261,18,13.7,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,67426,120982,15,11.2,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,44335,91340,33,32.6,22.66231875,36.25971,0.695163151840491,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,54056,91340,14,11.4,18.72973125,29.96757,1.64295888157895,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,74590,107980,16,8.1,14.3904625,23.02474,1.77660030864198,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,66029,75041,21,15.3,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,74087,91891,21,15.1,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,76891,91340,14,7.8,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,110760,91340,20,16.7,11.13338125,17.81341,0.666669535928144,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,81008,54711,27,22.2,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,63741,91340,11,7,13.85466875,22.16747,1.97923839285714,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,117306,91340,14,10.8,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,100194,75041,20,8.8,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,76306,91891,9,5.6,9.5478625,15.27658,1.70497544642857,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,74243,102829,28,23.7,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,75113,91340,20,16.5,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,52336,54711,17,14.3,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,58487,91340,14,10.5,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,76898,91340,18,14.1,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,111253,91340,34,29,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,52140,91340,18,13.3,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,58905,54711,25,18.8,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,27967,91340,42,42.7,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,105695,54711,14,6.8,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,58450,54711,13,6,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,91890,91340,3,0.6,2.7460625,4.3937,4.57677083333333,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,54375,91340,17,14.8,10.11969375,16.19151,0.683763091216216,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,75186,54711,8,3.7,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,85789,91340,19,10.9,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,71065,91340,16,12.5,27.1010125,43.36162,2.168081,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,74673,91340,12,5.1,15.31165,24.49864,3.00228431372549,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,75910,77261,17,10.8,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,66559,75041,22,15,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,89942,91340,7,1.8,3.13099375,5.00959,1.73944097222222,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,62187,91340,9,4.4,11.1187,17.78992,2.52697727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,79644,91340,19,16.8,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,96874,91340,18,14.6,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,66620,91340,8,4.4,11.0299,17.64784,2.50679545454545,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,59865,91340,19,16.1,10.9942625,17.59082,0.682873447204969,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,62053,91340,29,21,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,107387,97123,17,15,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,50839,91340,4,1.1,1.7095,2.7352,1.55409090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,120575,91891,7,6.1,9.6974125,15.51586,1.58973975409836,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,65890,54711,8,2.8,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,83361,54711,11,5,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,63866,91340,27,22.5,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,78368,77261,13,5.1,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,57812,91340,15,12,25.83283125,41.33253,2.1527359375,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,64828,91340,12,3.5,5.5538375,8.88614,1.58681071428571,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,81506,91340,7,1.6,3.38635,5.41816,2.11646875,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,62365,91340,17,13.6,22.53574375,36.05719,1.65703998161765,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,72147,91340,13,11.1,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,62432,91340,13,8.1,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,73786,54711,12,9.3,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,84066,91340,10,3.6,11.91236875,19.05979,3.30899131944444,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,84505,91891,15,12.5,18.99591875,30.39347,1.5196735,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,61894,91340,21,16.1,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,80878,77261,17,11,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,84878,91340,11,3.2,5.2574625,8.41194,1.64295703125,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,97709,91340,16,12.2,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,54738,91340,12,8,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,49317,91340,15,6.7,12.53466875,20.05547,1.87084608208955,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,75303,120989,12,4.9,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,75646,75911,5,2.8,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,75754,101175,9,3.4,13.33379375,21.33407,3.92170404411765,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,98011,91340,24,19.3,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,78736,91340,10,5.5,9.0808125,14.5293,1.65105681818182,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,69294,54711,9,3.9,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,58431,91340,17,13.5,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,81416,91340,18,12.7,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,52499,91340,12,4.5,12.8067375,20.49078,2.84594166666667,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,80889,101904,20,13.7,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,86168,75041,11,6.9,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,63333,91891,14,10.9,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,60454,108733,11,6.7,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,69836,77261,16,9.7,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,120095,120982,12,7.6,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,57779,54711,12,8.2,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,95550,77261,28,23.2,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,71804,91340,7,2.4,14.33550625,22.93681,5.97312760416667,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,24848,77261,32,30.2,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,55792,77261,21,14,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,54807,91340,18,13,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,94119,80434,12,8.2,15.02819375,24.04511,1.83270655487805,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,53160,54711,22,19,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,81998,91340,12,8.5,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,93331,75041,4,1.3,8.02919375,12.84671,6.17630288461538,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,49948,91890,17,13.1,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,58203,54711,10,4.5,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,56311,91340,7,2.2,14.358675,22.97388,6.52667045454545,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,83062,91340,19,14.7,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,79894,54711,9,6,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,99392,77261,16,10.8,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,34516,113372,41,40.1,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,82608,54711,7,5.9,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,73500,54711,18,16.3,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,62258,91340,7,2.3,14.522925,23.23668,6.31431521739131,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,58373,91340,10,4.3,11.59276875,18.54843,2.69599273255814,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,73914,120982,16,10.1,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,913,75041,33,28.3,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,56314,91340,8,2.5,12.7914875,20.46638,5.116595,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,84921,91340,17,12.2,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,43943,117550,40,39.4,60.90453125,97.44725,1.54580028553299,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,102104,77261,7,2.2,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,85063,91890,22,17.8,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,112391,91340,9,5.5,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,62263,91340,7,2.3,12.25785625,19.61257,5.3295027173913,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,118750,77261,17,13.1,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,102102,91340,6,2,14.89285625,23.82857,7.446428125,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,65830,77261,11,5.7,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,72499,91891,7,2.9,13.11433125,20.98293,4.52218318965517,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,72499,91340,10,3.6,12.96155625,20.73849,3.60043229166667,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,79899,120411,6,2.6,13.70064375,21.92103,5.26947836538462,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,79777,91340,21,16.5,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,4208,91340,27,21.4,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,73706,54711,6,2.8,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,112348,120995,32,26.3,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,100125,91340,22,18.4,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,95267,54711,16,12.3,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,88423,91340,11,3.7,10.71514375,17.14423,2.8959847972973,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,58464,91340,18,13.7,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,64695,91891,5,1.5,7.18794375,11.50071,4.7919625,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,104485,91340,54,55.7,37.368075,59.78892,0.670881059245961,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,48983,91340,8,2.5,12.89508125,20.63213,5.1580325,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,70351,77261,12,7.8,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,53355,91340,20,16.7,26.0759125,41.72146,1.56143188622755,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,77145,91340,8,3.4,7.75795625,12.41273,2.28175183823529,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,52911,54711,7,2.9,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,72218,91340,6,1.8,15.35609375,24.56975,8.53116319444444,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,91791,91891,6,2,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,114651,91340,6,1.7,15.4813875,24.77022,9.10669852941177,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,66090,91340,12,6.8,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,70142,91340,9,3,12.54034375,20.06455,4.18011458333333,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,73767,101904,14,10.2,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,114651,91340,6,1.7,15.4813875,24.77022,9.10669852941177,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,74977,77261,12,7.4,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,56307,91340,9,2.8,13.05925,20.8948,4.66401785714286,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,28039,91340,23,18.7,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,64692,74401,7,1.9,6.8192625,10.91082,3.58908552631579,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,3339,77261,28,25.4,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,64151,91340,36,26.3,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,1284,54711,29,23.2,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,59241,91340,14,11.7,27.50395625,44.00633,2.35076549145299,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,36640,54711,25,22.7,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,109549,75041,30,21.7,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,99086,77261,7,1.8,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,60700,54711,12,6.7,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,71595,91340,21,17.3,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,85307,91340,5,1.4,6.7548375,10.80774,4.82488392857143,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,119527,77261,21,17,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,